Transaction_ID,Customer_Name,DOB,Purchase_Date,Amount,Category,Age
1001,Damon Salvatore,1979-06-01,2023-04-17,91.54,Beauty,47
1002,Caroline Forbes,1989-07-24,2023-11-27,872.87,Home,37
1003,Alice White,1968-09-30,2023-05-11,145.64,Beauty,58
1004,Tyler Lockwood,1978-05-09,2024-01-21,31.59,Groceries,48
1005,Tyler Lockwood,1986-06-17,2023-08-24,653.34,Electronics,40
1006,Matt Donovan,1966-08-26,2023-09-28,413.34,Home,60
1007,Alice White,2005-04-19,2023-05-15,70.32,Beauty,21
1008,Jane Smith,2004-11-23,2023-11-12,127.92,Clothing,22
1009,Caroline Forbes,2006-03-17,2023-04-02,22.7,Groceries,20
1010,Alaric Saltzman,2001-01-17,2023-07-25,591.68,Electronics,25
1011,Stefan Salvatore,2005-02-18,2024-01-25,178.96,Clothing,21
1012,Alaric Saltzman,1990-07-21,2023-02-13,130.64,Clothing,36
1013,Alice White,1994-03-09,2023-10-31,11.56,Groceries,32
1014,Stefan Salvatore,1987-08-01,2023-08-25,171.11,Clothing,39
1015,Stefan Salvatore,1982-07-24,2023-09-09,83.69,Groceries,44
1016,Bonnie Bennett,1980-02-12,2023-10-28,129.71,Electronics,46
1017,Bonnie Bennett,1984-10-19,2023-05-16,238.9,Home,42
1018,Stefan Salvatore,1973-05-15,2024-01-14,139.31,Beauty,53
1019,Caroline Forbes,1968-02-02,2023-05-15,1284.27,Electronics,58
1020,Jane Smith,1976-01-11,2024-02-11,110.79,Beauty,50
1021,Stefan Salvatore,1987-01-21,2024-03-24,163.61,Home,39
1022,Bob Brown,2008-02-15,2023-08-06,546.6,Home,18
1023,Caroline Forbes,1966-09-04,2023-03-04,697.28,Electronics,60
1024,Alice White,1978-07-11,2023-08-25,242.91,Home,48
1025,Alaric Saltzman,1976-04-06,2023-07-06,203.16,Home,50
1026,Jane Smith,1967-01-16,2023-03-03,300.44,Electronics,59
1027,Tyler Lockwood,1980-11-10,2023-02-13,134.42,Groceries,46
1028,Matt Donovan,1980-07-10,2023-07-09,617.05,Electronics,46
1029,Matt Donovan,1995-07-05,2023-09-16,446.54,Home,31
1030,Charlie Black,1975-04-27,2023-08-22,40.4,Groceries,51
1031,Matt Donovan,1976-11-23,2023-08-21,57.73,Groceries,50
1032,John Doe,1996-05-03,2024-01-21,335.83,Home,30
1033,John Doe,1991-08-21,2023-04-23,160.75,Clothing,35
1034,Elena Gilbert,1985-07-16,2023-08-13,555.17,Electronics,41
